,x
391,‘귀한 전세’ 몸값 올라가나…수도권 입주물량 전년比 50% ↓
392,2019-09-23 10:58
393,"10월 전국 아파트 1만6363세대 입주 예정
전년동월대비 수도권·서울 물량 크게 감소

이달 수도권 입주물량이 전년동월대비 절반으로 뚝 떨어지면서 전셋값도 출렁일 것으로 보인다.

23일 부동산정보서비스 직방이 올해 10월 전국 아파트 입주예정단지를 분석한 바에 따르면, 이달 전국 아파트 입주예정물량은 1만6363세대로 지난해 10월 입주물량인 3만2713세대에 비해 49.98%가 감소할 것으로 예상된다.

특히 수도권에서 입주물량이 크게 감소한다. 같은 기간 수도권은 50.76%가 감소한 7433세대, 지방은 49.32%가 감소한 8930세대가 입주할 예정이다. 지역별로는 경기, 충남, 서울, 강원, 울산 순으로 공급 감소가 예상된다. 경기는 5779세대, 서울은 2128세대 감소해 각각 4296세대, 1581세대가 공급될 예정이다.
가을 이사철을 앞두고 전셋값이 조금씩 상승하고 있는 분위기 속, 수도권 입주물량 감소는 이같은 상승세에 영향을 미칠 것으로 보인다.

한국감정원이 발표한 ‘9월 3주 주간아파트 가격동향’에 따르면, 전국 아파트 전셋값은 전주 22개월(96주)만에 상승세로 전환한 데 이어, 지난주도 0.02% 상승하며 2주 연속 상승세를 이어가고 있다. 전주(0.01%) 대비 오름폭도 확대됐다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

서울 아파트 전셋값은 0.04% 올라, 전주(0.04%)와 동일한 상승 폭을 유지했다. 서울 아파트 전셋값은 12주 연속 오름세다. 수도권은 인천(0.04%), 경기(0.08%) 지역의 전셋값 상승세의 영향으로 0.06% 올라, 전주(0.05%) 대비 상승 폭이 커졌다.

올해 입주물량은 분기별로 줄어드는 추세로, 하반기 입주물량 감소가 전셋값 추가 상승의 요인이 될 수 있다고 분석된다. 직방에 따르면 올해 1분기 입주물량은 11만5008세대, 2분기 8만3677세대, 3분기 8만9515세대, 4분기 6만5551세대다.

또한 민간택지 분양가상한제 시행, 임대차 계약 갱신청구권 도입 추진 등 정책적 이슈가 맞물리면서 전세 수요가 늘어나 공급이 부족해지는 현상을 빚을 수도 있다.

함영진 직방 빅데이터랩장은 “민간택지 분양가 상한제나 임대차 갱신권이 향후 신규 공급 부족을 야기할 수 있다는 등의 정서적인 불안이 선 반영되고 있다고 보인다”며 “특히 저리 대출이 가능하다보니 준전세를 전세로 바꾼다거나 보증부 월세를 전세로 바꾸는 사례가 늘 수 있다”고 설명했다.

【서울=뉴시스】"
394,고속도로 주행 타이어 점검해보니… 46% 관리 필요 상태
395,2019-09-23 10:49
396,"한국타이어앤테크놀로지가 지난 7월 고속도로 안전점검 캠페인 기간 중 진행한 타이어 안전관리 현황 조사 결과, 점검 타이어 중 46%가 관리상태 부적합인 것으로 나타났다.

한국타이어에 따르면 외관 상 점검이 불가능한 공기압 과다나 부족상태 타이어가 37%로 가장 많았고, 외부 충격에 의한 타이어 손상 타이어 13%, 마모 과다 타이어가 7%를 각각 기록했다.

한국타이어 관계자는 “타이어 공기압이 적정 압력보다 낮으면 타이어 옆면이 수축과 이완을 반복해 주행 중 타이어 파손으로 이어질 수 있어 제동력과 연료효율이 나빠진다”며 “반대로 타이어 공기압이 과다하게 높으면 외부 충격으로 인한 타이어 손상 및 편마모 현상이 발생될 가능성이 높아진다”고 덧붙였다.

또한 타이어 홈 깊이가 마모한계선(1.6mm) 이하로 마모가 진행되면 젖은 노면에서의 배수성 부족으로 제동력이 급격히 떨어진다. 한국타이어가 실시한 빗길 제동력 실험 결과 시속 100km로 젖은 노면 주행 중 급제동을 할 경우 홈 깊이 1.6mm인 타이어는 새 타이어보다 제동거리가 약 2배 가량 긴 것으로 나타났다. 이에 한국타이어는 안전운전을 위해 젖은 노면 제동거리가 급격히 증가하는 홈 깊이 3mm 시점에 타이어 교체를 권장한다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

한편 점검 대상 차량 399대에 장착된 총 1596개의 타이어 중 한국타이어 비율은 38.8%였다. 금호타이어와 넥센타이어가 22.7%와 20.7%로 그 뒤를 이었고, 해외 브랜드 타이어가 17.8%를 차지했다.

한국타이어는 안전운행을 위해 월 1회 타이어 공기압 확인, 최소 분기 1회 타이어 안전점검을 권장하고 있다. 또한 축적된 기술력을 갖춘 전문 인력과 첨단 장비로 고객에게 기분 좋은 드라이빙 경험을 제공하는 타이어 중심 자동차 토탈 서비스 전문점 티스테이션을 통해 무상 10대 안전점검 등 고객들의 안전한 차량 관리를 돕기 위한 다양한 서비스를 제공하고 있다.

동아닷컴 정진수 기자 brjeans@donga.com"
397,"편의점, 가맹점 ‘최저 수익 보장’ 최대 5년으로 늘린다"
398,2019-09-23 10:47
399,"서울 서대문구 신촌 거리에 편의점들이 영업하고 있다. ⓒ News1
편의점의 가맹점 최저 수익 보장이 최대 5년까지 길어진다.

이인영 더불어민주당 원내대표는 23일 국회에서 열린 ‘가맹점주 경영여건 개선 종합대책’에서 “편의점 업계 1위인 GS25도 상생지원방안을 개선하기로 했다”며 최저 수익 보장제도의 확장을 밝혔다.

최저 수익 보장 제도는 가맹점주들의 수익이 기준치를 밑돌 때 가맹본사에서 일정 부분을 보전해주는 제도다.

GS25는 기존에도 2년 동안 가맹점주들의 최저 수익을 보장해주는 제도를 운영했지만, 앞으로는 최대 5년, 24회까지 늘리기로 했다. 편의점 프랜차이즈 재계약 기간이 5년임을 감안하면 24개월 동안은 월 최저 수익을 보장받을 수 있게 된 셈이다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

가맹점주 입장에서는 수익이 적게 나오더라도 안정적으로 편의점을 운영할 수 있으며, 가맹본부는 점주들의 이탈을 막을 수 있다는 장점이 있다.

조윤성 GS25 사장이 23일 서울 여의도 국회에서 열린 당정청 을지로 민생현안회의에서 우수 상생협력 사례발표를 하고 있다. ⓒ News1
이에 대해 GS25 관계자는 “본부와 가맹점이 함께 힘을 모아 차별화된 상품과 고객서비스를 통해 경영주들과 함께 지속 성장의 발판을 마련해 가겠다”고 말했다.

당정청은 이외에도 편의점 근접출점 실태조사는 물론 자율규약 이행을 점검한다. 또 광고·판촉 시 본사가 점주에게 사전 동의를 받도록 했으며, 폐업 단계에선 중도 폐점 위약금을 줄이기로 했다.

다만 일각에서는 이번 당정청 종합 대책이 업계 상황을 모르는 것 같다고 토로했다. 광고 판촉비 부담 완화를 위해 ‘광고판촉사전동의제’ 도입만 보더라도 유통 환경 변화를 고려하면 적용이 어렵기 때문이다.

한 업계 관계자는 “일부 프랜차이즈가 광고 판촉비를 악용에 가맹점에게 전적으로 부담을 지우는 사례를 이유로 전체 가맹사업에 이를 도입하는 것으로 무리수”라며 “기업 정책은 기업 간 투명한 경쟁 환경 속에서 이루어져야지, 정치권에서 압박에 못 이겨 회사 정책을 고민하게 되는 현실이 안타깝다”고 토로했다.

(서울=뉴스1)"
400,"日, 7월 한국수출액 6.9%↓수입액 8.6%↓…무역갈등 여파"
401,2019-09-23 10:47
402,"3위 수출국 자리는 유지…추세 이어져

일본 정부의 화이트리스트 규제로 양국간 무역갈등이 첨예해진 가운데 지난 7월 일본의 대(對) 한국 수출액이 지난해 같은 달에 비해 6.9%, 수입액이 8.6% 각각 감소한 것으로 나타났다.

다만 수출액 감소에도 불구하고 한국은 미국(6조6434억엔), 중국(1조2291억엔)에 이어 일본의 3위 수출국 자리를 유지했다.

23일 한국무역협회에 따르면 지난 7월 일본의 대(對)한국 수출액은 4361억엔(약 4조8000억원)으로, 전년 동기에 비해 6.9% 감소했다. 7월 한국으로부터의 수입 역시 2757억엔으로 전년 동기 대비 8.6% 감소했다.

다만 전월(6월 4131억엔)과 비교해서는 수출액이 5.6% 늘었다. 본격적인 규제를 대비해 미리 물건을 수출입하려고 하는 기업의 수요가 일부 반영됐다는 분석이다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

올해 1~7월 일본의 대 한국 누적 수출액은 3조449억엔, 누적 수입액은 1조8988억엔으로, 일본은 한국과의 무역으로 1조1461억엔의 무역흑자를 봤다.

일본 경제산업성은 우리 대법원의 강제징용 판결에 대한 경제보복조치로 지난 7월1일 플루오린 폴리이미드, 레지스트, 에칭가스(고순도 불화 수소) 등 3개 품목에 대한 수출규제를 강화한다고 발표했으며, 7월4일부터 이를 적용했다.

일본 정부는 지난달 2일에는 각의를 열어 ‘화이트리스트’ 국가에서 한국을 제외하기로 결정했으며, 28일부터 이를 시행하고 있다.

무역협회에 따르면 한국의 대(對)일본 불화수소 수입량은 지난 6월까지 월 평균 2500~3500t 수준을 유지했지만 7월들어 530t으로 급격히 줄어들었고, 8월에는 단 한 건도 수입되지 않아 ‘0t’을 기록했다.

8월에도 양국간 무역규모 감소세가 유지된 것으로 보인다.

한국무역협회 수출입통계에 따르면 산업통상자원부 분류코드 3단위 기준 지난달 부산으로 수입된 일본산 품목 수입액은 1억6413만달러로 전년 동기 대비 5.4% 감소했다.

특히 평판 디스플레이 제조용 장비, 항공기및 부품, 무기류, 기타금속광물, 고령토, 질소비료 수입은 ‘0건’으로, 전년 동기에 비해 100% 감소했다. 또 선박해양구조물및부품은 85.0%, 금형은 56.9%, 전기부품은 48.6%, 평판디스플레이및센서는 43.2% 각각 수입이 줄었다.

업계 관계자는 “한일간 무역갈등이 이어지면서 기업들의 불안감이 커지고 있다”며 우려를 나타냈다.


【서울=뉴시스】
日 2차 경제보복 강행
이재용 부회장, 日서 비즈니스 미팅 이어가…“한·일 반도체 연합전선 이상無”
日, 7월 한국수출액 6.9%↓수입액 8.6%↓…무역갈등 여파
“트럼프, 유엔총회서 한일 중재 나서야”"
403,‘삼바분식’ 국민연금·삼성물산 전방위 압색
404,2019-09-23 10:45
405,"23일 압수수색이 진행중인 서울 강동구 삼성물산 건설부문 사옥. ⓒ News1

삼성바이오로직스(이하 삼성바이오) 분식회계 의혹을 수사하고 있는 검찰이 국민연금 기금운용본부와 삼성물산등을 대상으로 전방위 압수수색을 실시했다.

23일 검찰에 따르면 서울중앙지검 특수4부(부장검사 이복현)는 이날 오전부터 전북 전주시 국민연금 기금운용본부, 서울 강동구 상일동 삼성물산 플랜트사업본부 등에 검사와 수사관을 보내 컴퓨터 하드디스크와 관련 서류를 확보했다.

또 서울 서초구 KCC 본사와 삼성생명 본사, 삼성자산운용에 대해서도 압수수색을 진행했다. KCC는 2015년 6월 삼성그룹과 미국계 헤지펀드 엘리엇이 제일모직-삼성물산 합병 문제로 대결각을 세우자 삼성물산 주식을 매입하며 ‘백기사’로 나선 바 있다.

에버랜드 땅값 폭등 의혹과 관련해 용인시청 도시정책과도 압수수색 대상에 포함됐다. 2015년 제일모직과 삼성물산 합병 당시 에버랜드 일대 표준지 공시지가가 전년 대비 최대 370% 오르면서 에버랜드를 보유한 제일모직의 자산 가치가 크게 높아진 바 있다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

검찰은 국민연금이 제일모직-삼성물산 합병 과정에서 제일모직 자회사였던 삼성바이오의 기업 가치를 의도적으로 높게 책정했다고 보고 있다.

특히 삼성물산 대주주였던 국민연금이 자신에게 손해가 될 것을 알면서도 제일모직에 유리한 합병비율인 1(제일모직)대 0.35(옛 삼성물산)에 찬성했다고 의심하고 있다. 제일모직 대주주였던 이 부회장은 이를 통해 그룹 지주회사격인 삼성물산의 최대 주주가 됐다.

국민연금의 이같은 판단에 결정적 영향을 미친 기업가치 평가 보고서를 작성한 딜로이트안진 소속 회계사들은 검찰 조사에서 “2015년 5월 삼성의 요구로 제일모직의 가치는 실제보다 높게, 삼성물산의 가치는 실제보다 낮게 평가 보고서를 작성했다”고 진술한 것으로 알려졌다.

검찰은 지난 8월 고위·중간간부 인사가 마무리된 뒤 삼성바이오 수사의 주체를 특수2부에서 특수4부로 변경, 수사를 진행해 왔다.

앞서 대법원이 지난 8월 국정농단 상고심 선고에서 이 부회장이 ‘승계 작업’을 위해 박근혜 전 대통령에게 뇌물을 건넸다고 판결함에 따라, 검찰의 분식회계 의혹 수사에도 힘이 실릴 것이라는 관측이 나왔다.

(서울=뉴스1)"
406,"현대차그룹, 중국 오픈이노베이션 센터 ‘크래들 베이징’ 공식 개소"
407,2019-09-23 10:42
408,"현대자동차그룹이 중국 내 오픈 이노베이션 센터를 공식 개소했다.

현대차그룹은 중국 베이징 시에 ‘크래들 베이징’을 공식 개소하고, 중국 현지 전략적 파트너들과의 협력에 박차를 가한다고 23일 밝혔다.

크래들 베이징은 미국 ‘현대 크래들 실리콘밸리’와 한국의 ‘제로원’, 이스라엘의 ‘현대 크래들 TLV(텔 아비브)’, 독일의 ‘크래들 베를린’에 이은 현대차그룹의 다섯 번째 글로벌 이노베이션 센터다.

현대차그룹은 크래들 베이징을 통해 중국 현지 ICT 대기업과 미래 핵심 기술을 보유한 스타트업, 대학, 정부, 투자 기관 등 다양한 파트너들과 협력을 확대해나간다는 방침이다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

피터 양크래들 베이징 사무소장은 “정보기술(IT) 시대에서 ‘데이터 기술(DT) 시대’로 전환해감에 따라 크래들 베이징은 중국 현지 혁신 네트워크와 활발히 교류할 수 있는 ‘개방형 혁신 인터랙티브 플랫폼’을 구축하려 노력할 것”이라며 “크래들 베이징은 전 세계에 중국으로부터 발원한 혁신 솔루션을 공유하는 허브로 기능할 예정”이라고 말했다.

중국은 세계 최대 자동차 시장이자 세계 2대 창업대국 중 하나로 현대차그룹의 크래들 네트워크 구축을 위한 최적의 입지를 갖추고 있다. 특히 베이징 시는 중국의 청년창업센터인 중관촌이 위치해있을 뿐 아니라, 벤처 캐피탈 투자사가 집중돼 있어 ‘창신 정책의 발원지’라 불린다.

현대차그룹은 작년 말 중국 칭화대와 ‘수소에너지 펀드’ 공동 설립 계획을 발표했다. 2018 CES 아시아에서는 중국 인공지능 기술 분야 최고 기술력을 자랑하는 딥글린트(DeepGlint)와의 협업 계획을 발표하는 등 중국 현지 파트너들과 함께 다양한 미래 기술 파트너십을 추진해나가고 있다

동아닷컴 정진수 기자 brjeans@donga.com"
409,“박세리는 역시 박세리더라”
410,2019-09-23 10:31
411,"‘골프 여왕’ 박세리(오른쪽)의 필드 나들이를 곁에서 지켜본 ‘일일 캐디’ 유동훈 프로는 “박세리는 역시 박세리더라”며 엄지를 치켜세웠다. 설해원·셀리턴 레전드 매치 첫날 포섬 경기 도중 활짝 웃고 있는 박세리와 유 프로. 양양｜고봉준 기자 shutout@donga.com

박세리의 일일 캐디로 뛴 유동훈 프로
“실전 감각 떨어져도 박세리는 박세리”
“가장 중요한 임팩트는 전성기 그대로”

‘골프 여왕’ 박세리(42)의 필드 나들이를 바로 곁에서 지켜본 ‘일일 캐디’ 유동훈 프로(47)는 “박세리는 역시 박세리였다”는 감탄부터 내뱉었다.

미국여자프로골프(LPGA) 투어 전현직 전설들이 함께한 ‘설해원·셀리턴 레전드 매치’는 박세리의 출전만으로도 큰 관심을 끌었다. 2016년 10월 은퇴 이후 처음으로 나서는 공식경기였기 때문이다. 전성기 모습을 재현하기 위해 맹연습한 박세리는 그러나 21일 포섬 경기 1번 홀 티샷에서 실수가 나오면서 다소 민망한 웃음을 지어야 했다.

대회를 모두 마친 22일 만난 유 프로는 “아무래도 지난 3년간의 공백기가 느껴진 하루였다. 경기 초반 비거리와 방향성 같은 부분들이 생각대로 되지 않았다. 실전 감각 역시 다소 떨어져 거리 조절에도 어려움이 있었다. 박세리 감독이 많은 연습을 소화했다고는 하지만 부족함은 숨길 수 없었다”고 말했다.

관련기사
정준하 은퇴 발언 “이렇게 끝날 줄 몰랐다”
현지 언론 “류현진, LA 다저스와 고액…” 난리
관련기사 3건 더보기

그러나 골프 여왕의 위엄은 오래 지나지 않아 되찾아졌다. 현역시절 감각이 점차 살아나면서 안정적인 플레이를 이어갈 수 있었다.

‘골프 여왕’ 박세리(앞줄 맨 왼쪽)와 ‘일일 캐디’ 유동훈 프로(뒷줄 왼쪽)가 21일 설해원·셀리턴 레전드 매치 첫날 포섬 경기를 마친 뒤 출전선수들과 기념사진을 찍고 있다. 양양｜고봉준 기자 shutout@donga.com

이날 십수 년 전 추억을 일깨우는 ‘SERI PAK’이라는 박세리의 영문명이 적힌 캐디빕을 입고 필드를 누빈 유 프로는 “비거리가 갈수록 늘어났다. 드라이버로 230야드 정도는 거뜬히 넘겼다. 무엇보다 가장 중요한 임팩트가 현역시절 못지않았다. 공을 때리는 감각만큼은 여전했다. 박세리는 역시 박세리였다”고 환하게 웃었다.

1997년 한국프로골프협회(KPGA)로 입회한 유 프로는 2000년대 초반 지인의 소개로 박세리와 처음 만났다. 이후 스윙 이론을 서로 공유하며 친분이 깊어졌고, 이 인연은 이번 대회 선수와 캐디 호흡으로 이어졌다.

유 프로는 “첫날 포섬 경기를 출발하려고 하는데 나 역시 감동이 느껴졌다. 박세리를 비롯해 줄리 잉스터와 안니카 소렌스탐, 로레나 오초아 모두 한 시대를 풍미한 전설들 아닌가. 박 감독도 이들과 함께하며 옛 추억을 떠올리는 모습이었다. 언제가 될지는 모르겠지만 골프 여왕의 필드 나들이를 하루라도 빨리 다시 볼 수 있었으면 좋겠다”고 대화를 마무리한 뒤 대회장을 빠져나갔다.

양양｜고봉준 기자 shutout@donga.com"
412,“웹툰에서 영화까지” 수직계열화…‘콘텐츠 왕국’ 카카오의 재발견
413,2019-09-23 10:30
414,"카카오페이지에 연재된 원작 웹소설 IP를 활용해 카카오M의 드라마 제작사 메가몬스터가 제작한 드라마 ‘진심이 닿다’ 포스터
카카오가 공격적인 인수 전략으로 콘텐츠 자회사들의 몸집을 불리며 오리지널 영상 콘텐츠 제작 역량을 빠르게 키우고 있다.

23일 업계에 따르면 카카오는 방대한 웹툰·웹소설 지적재산권(IP)을 확보한 ‘카카오페이지’와 영상 콘텐츠 제작 능력을 키운 ‘카카오M’ 등의 자회사를 통해 자체 콘텐츠 제작 사업을 위한 수직계열화를 강화하고 있다.

◇‘흥행 보증수표’ 웹툰·웹소설 IP 두둑히 챙겨놔
ⓒ 뉴스1

카카오가 자체 콘텐츠 제작에 속도를 내는 이유는 콘텐츠 플랫폼 자회사 카카오페이지가 웹툰·웹소설로 막강한 ‘IP 텃밭’을 가꿔놨기 때문이다. 현재 카카오페이지의 누적 작품 수는 6만6000여개로, 누적 매출액이 1억원을 넘어선 인기작만 1400여개에 달한다.

최근 웹툰·웹소설 원작은 영화나 드라마 흥행의 보증수표로 꼽히고 있다. 이미 독자들에게 인기를 검증받은 데다 화제성까지 갖췄기 때문이다. 카카오페이지는 지난해 드라마 ‘김비서가 왜 그럴까’가 흥행하면서 ‘웹소설-웹툰-드라마’로 이어지는 성공 사례도 한차례 입증했다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

처음 웹소설로 시작한 ‘김비서가 왜 그럴까’는 인기를 얻자 웹툰으로 제작돼 지금까지 웹소설 200만, 웹툰 600만명의 독자를 끌어모았다. 드라마 역시 최고 시청률 8.7%를 기록하며 150억원 이상의 수익을 올렸다. 특히 드라마가 흥행하자 원작 웹소설·웹툰의 독자수가 다시 치솟아 누적 매출액 100억원을 기록했고, 해외로 판권이 팔려나가는 등 ‘IP 가치사슬’의 힘을 제대로 보여줬다는 평가다.

올해에는 지난 8월 넷플릭스 오리지널 시리즈로 공개된 ‘좋아하면 울리는’을 시작으로 드라마 ‘어쩌다 발견한 하루’, ‘이태원 클라쓰’, 영화 ‘시동’, ‘해치지 않아’ 등 다음웹툰 원작의 영상화가 줄줄이 대기 중이다.

카카오페이지는 IP 확보를 위해 공격적인 투자를 이어가고 있다. 지난해 학산문화사 150억원, 대원씨아이 150억원, 서울미디어코믹스 100억원 등 만화 출판사 3곳에 투자했고, 올해도 웹소설 관련 회사인 ‘사운디스트엔터테인먼트’와 ‘알에스미디어’에 각각 35억원과 41억을 투입해 종속 회사로 편입시켰다. 카카오는 올해 카카오페이지 유상증자에 참여해 637억원을 수혈하며 힘을 실어줬다.

◇드라마·영화 제작 능력에 ‘한류스타 군단’까지 갖춰
김성수 카카오M 대표ⓒ News1

카카오는 카카오페이지가 축적한 IP를 콘텐츠 자회사 카카오M을 통해 제작하는 수직계열화를 추진하고 있다. 카카오는 2016년 로엔엔터테인먼트를 인수해 카카오M으로 사명을 변경한 후, 올해 초 김성수 전 CJ ENM 대표를 영입해 영상 콘텐츠 제작 역량 강화에 나섰다.

카카오M은 드라마 제작사 ‘메가몬스터’와 모바일 영상제작사 ‘크리스피스튜디오’를 보유하고 있다. 여기에 최근 ‘범죄와의 전쟁: 나쁜놈들 전성시대’, ‘군도: 민란의 시대’, ‘공작’ 등을 연출한 윤종빈 감독이 이끄는 ‘월광’과 ‘신세계’, ‘무뢰한’, ‘아수라’ 등을 제작한 ‘사나이픽쳐스’의 지분 인수로 최대주주에 올라 영화 제작 역량까지 확보했다.

이와 함께 카카오M은 매니지먼트 숲, BH엔터테인먼트, 어썸이엔티, 이앤티스토리 엔터테인먼트, 제이와이드컴퍼니, 킹콩 바이 스타쉽 등 6개 배우 매니지먼트사도 거느리고 있다. 여기엔 이병헌, 공유, 김태리 등 한류스타를 비롯한 배우 130여명이 속해있고, 현재 6개사 공통 오디션을 통해 신인배우 발굴에도 나서고 있다.

카카오페이지와 카카오M은 올해 웹소설 원작 드라마 ‘진심이 닿다’로 본격적인 협업의 시동을 걸었다. 지난 6월 카카오페이지의 사내독립기업(CIC) 다음웹툰컴퍼니와 카카오M의 드라마 제작사 메가몬스터는 KBS와 2020년부터 매년 1편씩 3년 동안 웹툰을 기반으로 드라마를 제작해 방송하는 내용의 업무협약을 체결하기도 했다. 이번 업무협약을 통해 2020년에 드라마로 선보일 첫 번째 웹툰은 ‘망자의 서’로 예정됐다.

◇카카오페이지-카카오M ‘콘텐츠 밸류체인’ 주목
ⓒ 뉴스1

카카오의 콘텐츠 수직계열화의 마지막 열쇠는 자체 채널 플랫폼이 될 전망이다. 카카오는 유튜브가 장악한 동영상 시장에 명함도 못내미는 상황이다. 검색 강자인 네이버가 ‘V라이브’ 등을 야심차게 선보이며 동영상 시장에 안간힘을 쓰는 것에 비하면 소극적인 행보다.

대신 카카오는 ‘콘텐츠 텃밭’으로 키운 카카오페이지를 영상 콘텐츠도 유통하는 플랫폼으로 주목하고 있다. 실제로 카카오페이지는 종합 모바일 플랫폼으로 카카오 계열사들이 참여한 콘텐츠를 한 곳에서 볼 수 있는 창구 역할을 하고 있다.

카카오페이지는 지난해 1월 영화 서비스를 시작했고, 이어 5월 드라마와 예능 서비스도 오픈했다. 카카오페이지의 영상 서비스는 10분까지 미리보기를 제공하는 ‘일단 10분 플레이’와 전체 영상을 구간별로 선택해 볼 수 있게 만든 ‘포즈앤플레이’(P&P) 등을 차별점으로 내세우고 있다.

앞으로 카카오가 원작 IP와 제작 능력, 유통 채널까지 갖춰 ‘콘텐츠 밸류체인’을 완성할 경우 기존 콘텐츠 사업자들을 위협할 강력한 경쟁자로 떠오를 수 있다는 전망도 나오고 있다.

황현준 DB금융투자 연구원은 “카카오는 카카오페이지의 방대한 IP 풀과 카카오M의 배우와 제작사로 연결되는 콘텐츠 밸류체인을 기반으로 영향력 있는 IP 확장 전략을 펼칠 수 있을 것”이라며 “카카오페이지와 카카오M를 기반으로 카카오는 국내 콘텐츠 시장 플레이어들에게 위협요인으로 작용할 것”이라고 설명했다.

(서울=뉴스1)"
415,"美 BTI “업비트, 亞 유일 투명한 암호화폐 거래사이트”"
416,2019-09-23 10:25
417,"BTI가 선정한 투명한 암호화폐 거래사이트 13개사 (두나무 제공) ⓒ 뉴스1

국내 암호화폐 거래사이트 업비트가 아시아 유일의 투명한 거래사이트로 선정됐다.

23일 미국 블록체인투명성연구소(BTI)가 발표한 9월 시장감시 리포트에 따르면 업비트는 미국 거래사이트 코인베이스 등 12곳과 가장 투명한 거래사이트로 이름을 올렸다.

BTI는 블록체인과 암호화폐 시장의 투명성 및 신뢰도 제고를 위해 지난해 8월부터 자체 데이터 분석을 기반으로 실제 거래량을 측정, 글로벌 거래소 순위 및 보고서를 발간해오고 있다. 이번 9월 리포트는 지난 4월부터 9월까지 약 6개월간의 실거래량을 기준으로 삼았다.

앞서 업비트는 지난 4월에 발표된 BTI보고서에서 워시 트레이딩(거래조작) 없는 투명한 거래사이트로 지정된 바 있다. 업비트 관계자는 “높은 신뢰도와 정확한 분석으로 정평이 나 있는 BTI로부터 연속해서 좋은 평가를 받게 돼 큰 사명감을 느낀다”며 “앞으로도 깨끗한 거래 환경 구축을 위해 최선을 다할 것”이라고 말했다.

주요기사
[단독]자택PC 인턴증명서 직인없는 미완성본… 檢, 최종본 조국 관여 의심
집 PC 하드 등 확보…조국 문서위조-증거인멸 가능성 수사

한편 BTI는 올해 들어 글로벌 상위 40개 거래소의 워시 트레이딩이 35.7% 감소했으며, 미국과 일본 거래사이트가 산업을 이끌고 있다고 평가했다. 그 이유로는 이들 국가의 암호화폐 법적 규제안 마련이 주된 요인이라고 분석했다.

(서울=뉴스1)
혼돈의 가상통화 시장
“가상통화, 화폐-금융상품 아니다”… 더 멀어진 제도권 진입
“가상통화, 화폐-금융상품 아니다”…제도권 진입 더 어려워질 듯
美 BTI “업비트, 亞 유일 투명한 암호화폐 거래사이트”"
418,김포서도 돼지열병 의심 신고…확진땐 한강이남 확산 우려
419,2019-09-23 10:16
