"","x"
"274","김포 돼지열병 발생농가 반경 3km이내 3380두 살처분 시작"
"275","2019-09-24 07:14"
"276","방역 관계자들이 23일 오후 아프리카돼지열병 확진을 받은 김포시 통진읍 가현리의 한 돼지농장에서 살처분을 위한 작업을 하고 있다. ⓒ News1
농식품부가 경기 김포시 통진읍의 한 돼지농가에 대한 아프리카돼지열병(ASF) 확진을 발표하자 김포시가 확진 판정을 받은 농가를 포함, 3km반경내에 있는 농가에 대한 돼지 살처분을 시작했다.

김포시는 24일 0시부터 통진읍 가현리의 확진 농가를 포함해 총 5곳의 돼지 3380두에 대한 살처분을 시작했다고 밝혔다.

농식품부는 살처분을 두고 반경 3km이내 농가로 할지, 500m 이내로 할지 저울질 하다, 아프리카돼지열병 확산 차단을 위해 3km이내 농가에 대한 살처분을 결정한 것으로 알려졌다.

농식품부의 이 같은 결정은 아프리카돼지열병에 김포가 뚫렸고, 23일 파주에서도 5번째 의심축 신고가 나와 전국 확산의 도화선이 될 수 있다는 우려에 따른 것으로 보인다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

김포시는 살처분 작업을 위해 총 120여 명의 전문 용역 인력을 투입했다. 살처분 대상 돼지는 해당 농장에 매몰된다. 살처분은 이날 낮 12시까지 12시간여 동안 진행될 예정이다.

현재는 김포 관내 모든 돼지 축사 주변에 추가 생석회 도포, 방역소독, 이동제한조치 등 대응이 더욱 강화된 상태로 시는 아프리카돼지열병 전파를 막기 위해 추가 인력과 장비를 투입하는 등 안간힘을 쏟고 있다.

방역 관계자들이 23일 오후 아프리카 돼지열병 확진을 받은 김포시 통진읍 가현리의 한 돼지농장에서 살처분에 사용할 생석회를 싣고 온 차량을 소독하고 있다. ⓒ News1
정하영 시장은 24일 0시쯤 월곶면 김포농업기술센터를 방문해 “행정력을 총동원해 추가 확산을 방지할 수 있도록 가능한 모든 조치를 다하라”고 재난대책본부에 지시했다.

앞서 확진 판정을 받은 가현리의 한 돼지농가는 23일 오전 6시 35분쯤 돼지 4마리가 유산하고 모돈 5마리가 식욕 부진 증상을 보이자 방역당국에 이를 신고했다.유산은 아프리카돼지열병 주요 증상 중 하나다.

방역당국은 신고를 받자마자 해당농가를 방문, 의심축에 대한 샘플링을 채취해 분석작업에 들어간 후 이날 오후 7시 30분쯤 의심축에 대해 아프리카돼지열병 확진판정을 내렸다.

한편 23일 오후 경기 파주에 있는 양돈농가에서는 5번째 의심 신고가 접수돼 방역당국을 당혹케 했다. 만약 이 신고가 확진으로 판정나면 지난 17~18일 경기도 파주·연천과 김포 농장에 이어 네 번째 발병 사례가 된다.

이에 농식품부는 23일 오후 7시30분부터 48시간 동안 경기, 인천, 강원 지역을 대상으로 일시 이동중지명령을 내렸다.

일시이동중지명령은 돼지 농장, 도축장, 사료공장, 출입차량 등을 대상으로 적용한다. 명령을 위반할 경우 가축전염병 예방법에 따라 1년 이하의 징역 또는 1000만원 이하의 벌금 처분을 받는다.

(김포=뉴스1)
아프리카돼지열병 국내 첫 발생
‘아프리카돼지열병 확산 우려’…최대 축산단지 충남 위기감 고조
ASF 정밀검사 ‘음성’ 판정 사흘만에 ‘확진’ 허점 드러냈다
ASF 발생 김포 돼지농장 방문 사료차량, 충북 음성·진천 경유"
"277","[날씨]24일 태풍 지나간 가을 아침기온 뚝…일교차 10도 이상"
"278","2019-09-24 07:14"
"279","태풍 타파가 지나간 23일 서울 북한산 백운대에서 바라본 서울 도심에 파란 하늘이 펼쳐져 있다. ⓒ News1

화요일인 24일 전국이 맑은 가운데 낮과 밤의 기온차가 10도 이상 클 것으로 전망된다.

기상청은 중국 북부지방에서 동진하는 고기압 영향으로 24일은 전국이 맑다고 23일 예보했다.

아침 최저기온은 10~18도, 낮 최고기온은 24~27도로 평년과 비슷하다. 23일에 비해 하루 만에 2~5도 낮아진 것으로 다소 쌀쌀한 수준이다.

기상청은 또 내륙을 중심으로 낮 동안 햇볕에 의한 지표면 가열로 낮 기온이 올라, 낮과 밤의 기온차가 10도 이상 크다고 전망했다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

지역별 아침 최저기온은 Δ서울 15도 Δ인천 17도 Δ춘천 11도 Δ강릉 13도 Δ대전 13도 Δ대구 14도 Δ부산 17도 Δ전주 13도 Δ광주 14도 Δ제주 19도, 낮 최고기온은 Δ서울 26도 Δ인천 24도 Δ춘천 26도 Δ강릉 26도 Δ대전 26도 Δ대구 26도 Δ부산 26도 Δ전주 25도 Δ광주 26도 Δ제주 24도로 예상된다.

대기질은 청정하다. 국립환경과학원에 따르면 이날 대기 확산이 원활해 미세먼지 등급이 ‘좋음’~‘보통’으로 예상된다.

바다의 물결은 서해 앞바다에서 0.5m, 남해 앞바다에서 0.5~2.5m, 동해 앞바다에서 1.0~4.0m, 서해 먼바다에서 최고 1.5m, 남해 먼바다에서 최고 3.0m, 동해 먼바다에서 최고 4.0m로 높게 일겠다.

기상청 관계자는 “내륙을 중심으로 가시거리 200m 이하의 짙은 안개가 끼는 곳이 많으니 교통안전에 각별히 유의할 것”을 당부했다.

(서울=뉴스1)"
"280","[날씨] 아침기온 뚝, 강원북부 산지엔 서리…일교차 10도↑"
"281","2019-09-24 04:09"
"282","동진하는 고기압 영향…전국 맑고 쾌청
일교차 10도 이상 벌어져…건강에 유의
대관령 아침 5도까지…미세먼지 양호

화요일인 24일은 전국이 맑은 가운데 일교차가 10도 이상으로 매우 크겠다. 대관령의 아침기온은 5도까지 떨어지겠다.

기상청은 “동진하는 고기압의 영향을 받아 전국이 맑겠다”며 “북서쪽에서 찬 공기가 남하하면서 아침기온은 전날보다 2~5도 낮아 다소 쌀쌀하겠다”고 예보했다.

전국 대부분 지역의 아침기온이 15도 내외를 오가는 반면 맑은 하늘로 낮 동안 지표면이 가열돼 낮과 밤의 기온차는 10도 이상 벌어지겠다.

24일 아침 기온은 평년 수준(아침 11~18도, 낮 22~26도)을 오가겠다. 아침 기온은 10~18도, 낮 기온은 24~27도다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

기상청은 특히 “오전 3~9시 사이 강원북부 높은 산지에는 서리가 내리는 곳이 있겠다”며 “농작물 관리에 유의해야 한다”고 당부했다.

주요 지역 아침기온은 서울 15도, 인천 16도, 수원 14도, 춘천 12도, 대관령 5도, 강릉 14도, 청주 14도, 대전 12도, 전주 14도, 광주 14도, 대구 15도, 부산 17도, 제주 19도다.

낮 최고 기온은 서울 26도, 인천 24도, 수원 26도, 춘천 26도, 대관령 21도, 강릉 27도, 청주 26도, 대전 26도, 전주 25도, 광주 26도, 대구 26도, 부산 25도, 제주 24도다.

원활한 대기확산의 영향으로 대기 상태는 대체로 청정할 것으로 예상된다. 미세먼지는 전 권역에서 ‘좋음’~‘보통’ 수준을 오가겠다.

풍랑특보가 발효 중인 동해앞바다, 동해먼바다에는 이날까지 1~4m의 매우 높은 물결이 일겠다.

【서울=뉴시스】"
"283","취업준비생 “기업 고를 때 재무제표와 재직자 리뷰 본다”"
"284","2019-09-24 03:00"
"285","취업정보사이트 진학사 ‘캐치’, 기업 6만 곳 분석 리포트 인기
“워라밸 최고.” “업무 강도는 부서별로 나름이에요.” “다른 회사 추천합니다.” “초봉이 다른 업종에 비해 높은 편.”

취업정보사이트인 진학사 캐치에 올라온 기업 재직자들의 ‘리뷰’다. 현직자들의 솔직한 회사 리뷰는 최근 이 사이트에서 가장 인기 있는 콘텐츠 중 하나로 떠올랐다. 서울의 한 대학을 졸업하고 취업 준비 중인 이모 씨(26)는 채용공고가 새로 나올 때마다 해당 기업의 재무제표를 유심히 들여다본다. 직원 수와 평균 급여 등 기초정보뿐 아니라 해당 기업의 미래 성장방향 등 전략까지 확인한다. 이 씨는 “‘어디가 좋다’는 식의 단순한 입소문만으로 기업을 선별하기에는 한계가 있다”며 “원하는 기업의 정보를 얻기 위해 다양한 자료를 활용하는 편”이라고 말했다.

23일 진학사 캐치에 따르면 최근 취업을 준비 중인 청년구직자들이 사이트에서 가장 오랜 시간 이용하는 메뉴는 기업의 재무정보와 기업분석 리포트다. 캐치 사이트의 순방문자는 일일 최대 4만 명 정도다. 기업들이 대규모 공채 대신 적은 수의 인원을 선발하는 수시 채용으로 인재 선발 방향을 바꾸면서 구직자들도 자신이 원하는 기업에 대한 ‘공부’에 열중하고 있다는 의미로 해석된다.

이 사이트에서는 기업 6만 곳의 재무제표뿐 아니라 해당 기업의 강점과 약점 등을 종합하는 이른바 ‘스왓(SWOT·강점 약점 기회 위협)’ 분석을 시행해 인포그래픽 형태로 제공한다. 대기업뿐 아니라 최근 관심이 커진 스타트업이나 외국계 기업, 중견기업 등의 정보도 찾을 수 있다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

잘 알려지지 않은 현직자들의 ‘회사 리뷰’는 특히 인기가 높다. 조직문화, 급여 및 복리후생, 경영진 성향 등과 함께 기업 회식문화나 ‘칼퇴(정시퇴근)’ 가능 여부 등 내부자가 아니면 알 수 없는 정보도 포함됐다. 이런 현직자 리뷰가 8만5000건에 달한다. 이를 바탕으로 회사별, 분야별로 매긴 현직자 평가점수도 참고용으로 공개된다.

채용공고 역시 이른바 ‘취향저격 공고’를 제공한다. ‘무조건 대기업’ ‘정년보장 최고’ ‘저녁은 집에서’ ‘지방근무도 OK’ 등 맞춤형 키워드로 자신이 원하는 정보를 찾을 수 있다. 진학사 캐치 김준석 본부장은 “인지도나 규모만으로 입사 기업을 선택하는 시대는 끝났고, 이제 구직자들은 ‘나와 맞는 기업’을 일하기 좋은 기업으로 본다”며 “‘합리적인 선택을 위해 기업 재무정보나 현직자 리뷰 등을 확인하는 취업준비생이 계속 늘고 있다”고 말했다.

박재명 기자 jmpark@donga.com"
"286","이재갑 “건설노조 채용 강요 전수조사해 시정 명령… 불응하면 사법처리”"
"287","2019-09-24 03:00"
"288","이재갑 고용노동부 장관 인터뷰
이재갑 고용노동부 장관은 18일 서울 중구 서울고용노동청에서 동아일보와 인터뷰하며 주 52시간 근로제, 국제노동기구(ILO) 핵심협약 비준, 청년고용 상황 등 고용노동정책 전반에 대한 생각을 상세히 밝혔다. 김재명 기자 base@donga.com
이재갑 고용노동부 장관이 18일 서울 중구 서울고용노동청에서 가진 동아일보와의 인터뷰에서 건설현장의 ‘채용 갑질’(노조의 조합원 채용 강요)을 근절하겠다는 뜻을 밝혔다. 고용부는 이를 위해 전국 건설현장 450여 곳의 단체협약을 전수 조사해 이 가운데 조합원 채용 등 불법 단협으로 확인된 200여 곳에 대한 시정 절차를 진행 중이다.

이 장관은 또 내년 1월 1일부터 주 52시간 근로제가 적용되는 50∼299인 사업장에 대해서는 예정대로 주 52시간제를 시행해야 한다는 뜻도 밝혔다. 일각에서 제기되는 시행 연기 주장을 수용할 수 없다는 뜻을 분명히 한 것이다. 이 장관은 21일로 취임 1주년을 맞았다. 다음은 일문일답.

―50∼299인 사업장의 주 52시간제를 우려하는 목소리가 많다.

“시행을 유예하고 또 시행할 시기가 오면 똑같은 논란이 반복되고 그 사이에 바뀌는 건 없을 것이다. 시행을 유예하는 것은 답이 아니라고 생각한다. 탄력근로제 단위기간이 경제사회노동위원회 합의(3개월→6개월)대로 개선되면 대부분 문제가 풀릴 것이다.”

―계도기간 설정 등 추가 대책은 내놓을 계획이 없나.

“50∼299인 사업장 전체(4000여 곳)를 일대일로 도와드릴 예정이다. 탄력근로제 개선으로도 안 되는 게 있는지 검토해 보고, 추가 조치가 필요한지도 생각해 보겠다.”

―최저임금(내년도 시급 8590원)이 많이 올라 주휴수당을 없애도 된다는 지적이 있는데….

“노사 간 견해차가 크고 사용자들도 입장이 엇갈리는 문제다. 주휴수당을 없애면 시급 근로자들은 임금이 16.7%나 감소한다. 반면 대기업 등 월급제 근로자는 통상임금이 20% 이상 인상되고, 다른 수당도 같이 올라 기업의 인건비 부담이 커지게 된다. 중소기업 업계 내부에서도 입장 차가 크다. 논의를 하더라도 심도 있게 사회적 논의가 이뤄져야 한다.”

―건설현장 노조의 ‘채용 갑질’에 대한 정부의 대응이 미진하다는 지적이 많다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

“다른 사람의 취업을 방해하는 행위는 없어져야 한다. 조합원 채용을 명시한 단체협약은 불법이라 시정명령 대상이다. 건설현장 450여 곳의 단협을 전수 조사해서 이 가운데 200여 곳에 대해 시정 절차를 진행 중이다. 시정에 응하지 않으면 사법처리할 계획이다.”

―과태료를 부과하는 채용절차법으로 채용 갑질이 근절될 수 있을까.

“실제 채용 강요가 생겼을 때 예전에는 경찰에 수사 의뢰를 했다. 하지만 당사자들이 협조를 잘 안 한다. 기업도 겁을 내는 거다. 지난해 6건 모두 무혐의 처리됐다. 그래서 채용절차법을 만든 것이고, 이제 신고가 들어오면 우리가 조사한다. 근로감독관이 현장에 가서 행정지도를 하고, 과태료(최대 3000만 원)도 부과할 수 있다. 법 위반이 확인되면 엄정한 조치를 내리겠다. 만약 정도가 심하면 경찰에 수사를 의뢰하겠다.”

―2기 경사노위가 출범했는데, 사회적 대화 무용론을 제기하는 사람도 있다.

“경사노위의 성과를 판단하긴 아직 이르다. 탄력근로제 개선과 사회안전망 확대 등 몇 가지 합의가 있었다. (사회적 대화가) 안 돌아간다고 할 수는 없다. 다만 예민한 주제에 대한 계층별 위원들의 의견을 어떻게 수렴할지 정립이 안 된 상태에서 합의가 이뤄진 게 문제였다. 2기 경사노위는 운영 방식부터 개선할 것이고, 1기보다 원활해질 거라 생각한다.”

―국제노동기구(ILO) 핵심협약 비준안을 경영계가 강하게 반대하는데….

“경영계의 우려는 이해하지만 과도하다. 국내 노조의 절반 정도는 이미 산별노조의 지회 형태다. 산별노조의 경우 이미 실업자와 해고자가 다 들어가 있다. 기업노조에서 단체교섭을 할 때 이런 분들에게 위임도 한다. 이들의 노조 가입 여부는 노조의 자율적 결정에 맡겨져 있고, (정부안은) 기업노조 임원을 재직자로 한정하는 등 다양한 보완 방안을 뒀다. 경영계가 우려하는 상황은 발생하지 않을 것이다.”

―국회에서 정부안을 수정할 생각은 없는 것인가.

“정부안 외에 많은 법안이 국회에 계류 중이다. 우리도 적극적으로 설명하고, 여야가 합의할 수 있는 합리적 대안이 마련될 수 있도록 노력하겠다.”

―경영계의 핵심 요구인 파업 중 대체근로를 허용할 수는 없나.

“ILO는 대체근로에 대해 노동자들의 단결권과 쟁의권을 침해하는 행위로 분류한다. 현재 우리 법(대체근로 금지)이 ILO 기준과 맞다.”

―임금분포 현황을 공개하려는 이유는….

“경영계는 임금체계를 직무급으로 바꾸는 것을 원하지 않나. 직무급은 직무에 대한 임금정보가 없으면 만들 수 없다. 외국에서도 직무급을 설계할 때 임금정보를 수집하는 게 가장 중요하다. 임금체계 개편을 법으로 강제할 수는 없다. 다만 임금정보 공유의 폭을 넓혀야 시작할 수 있다. (임금분포 현황 공개에 대한) 경영계의 우려는 그래서 과도하다.”

―최근 청년고용률 상승은 어떻게 분석하고 있는가.

“대기업만 보면 항상 청년일자리가 부족하다. 하지만 정부의 청년정책은 강소기업과 중소기업에 초점을 맞추고 있다. 정부가 파격적인 정책을 내놓자 중소기업에 취업하려는 청년들이 많아졌다. ‘일자리 미스매치’가 해소되면서 청년고용이 개선되고 있다고 본다.”

유성열 ryu@donga.com·송혜미 기자"
"289","광주 ‘추억의 7080 충장축제’"
"290","2019-09-24 03:00"
"291","23일 광주 동구 서석로에 조성된 70년대 거리 풍경을 재연한 추억의 거리에서 임택 동구청장과 거리 공연단이 당시 유행한 춤을 선보이고 있다. 광주의 대표적인 거리축제인 추억의 충장축제 개막을 일주일 앞두고 열린 홍보 퍼포먼스다. 올해로 16회를 맞은 충장축제는 10월 2일부터 6일까지 국립아시아문화전당, 충장로, 금남로, 예술의 거리 일원에서 열린다.
박영철 기자 skyblue@donga.com"
"292","연구산업 일자리 박람회 구직자 북적"
"293","2019-09-24 03:00"
"294","23일 서울 서초구 양재동 더케이호텔에서 열린 ‘제3회 연구산업 일자리 박람회’에서 구직자들이 취업 상담을 받고 있다. 과학기술정보통신부가 주최하고 한국기초과학지원연구원이 주관한 이번 행사에는 32개 기업이 참가해 채용 상담, 직업심리검사 등을 진행했다.


뉴시스
주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심"
"295","서울시, 빅데이터 활용해 시내버스 노선 조정하기로"
"296","2019-09-24 03:00"
"297","서울시가 교통카드 이용 정보를 근거로 노선별 시내버스 이용량 등을 빅데이터로 만들어 버스 노선 조정에 활용하기로 했다. 그동안 시민들의 노선 개설과 변경 요청이 있으면 반영했지만 노선 조정 과정에서 이용자 간 갈등이 발생하기도 했다. 데이터를 기반으로 노선을 만들어 갈등을 줄이겠다는 것이다.

서울시는 내년 1월까지 전체 시내버스 노선 354개 중 이해관계 충돌로 조정되지 못한 노선과 주거 및 교통여건 변화로 효율성이 떨어진 노선 등을 조정하겠다고 23일 밝혔다. 다음 달까지 조정이 필요한 노선을 발굴한 뒤 빅데이터 분석, 버스정책시민위원회 심의 등을 거쳐 노선 조정을 실시한다.

노선 조정을 둘러싼 갈등은 교통 관련 오랜 민원 사항 중 하나다. 신축 아파트가 생겨 입주민들이 노선 조정을 요구하면 기존 버스 노선을 이용하던 지역 주민들은 반대할 때가 많았다. 실제 영등포구 신길뉴타운 입주자들은 영등포구와 양천구를 지나는 지선버스 6649번이 신길뉴타운을 경유하도록 해달라고 요청했지만 기존 버스 이용자들은 크게 반대하고 있다.

한우신 기자의 더 많은 글을 볼 수 있습니다.기자 페이지 바로가기

서울시는 주 52시간 근로제 정착을 위해 일부 장거리 버스 노선의 단축도 추진한다. 운행거리가 60km 이상이고 운행시간이 4시간 이상인 17개 장거리 노선이 조정 고려 대상이다. 2, 3개의 도심 순환버스 노선도 새로 마련된다. 도심 지역의 차량 통행을 제한하면서 발생하는 교통 불편을 줄이기 위한 조치다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심


한우신 기자 hanwshin@donga.com"
"298","낮엔 음악회, 밤엔 야시장… 재기 꿈꾸는 이화52번가"
"299","2019-09-24 03:00"
"300","대학-건물주-상인 ‘삼각 협력’
발길 뜸해진 이대 정문 서쪽 골목
정부지원 받아 청년몰 들여오고 건물주는 임대료 인상 자제
책방-식당 등 늘면서 차츰 활기
크게보기
23일 정오 서울 서대문구 이화52번가 상점가. 수업을 마치고 점심을 먹으러 온 학생들로 붐비기 시작했다. 이화여대 정문 서쪽에 위치한 이화52번가는 지하철 2호선 이대역부터 이화여대 정문까지 이어지는 ‘메인 도로’에선 보이지 않는 뒷골목이다. 이곳의 분위기는 메인 도로와는 확연히 다르다. 화장품 가게 대신 독립책방과 다양한 종류의 음식점이 들어서 있다. 메인 도로에서 쉽게 들을 수 있던 중국어나 일본어가 이곳에서는 들리지 않았다.

이화52번가는 2000년대 이후 이화여대 상권이 무너지면서 사람들의 발걸음이 뜸해졌다. 이화여대 산학협력단에 따르면 점포 194개 가운데 77개(39.7%)는 아예 비어 있었다(2016년 5월 기준). 이곳에 위치한 한국철도시설공단 소유의 넓은 공터는 높은 철망으로 둘러싸인 채 방치됐다. 학생들이 지나다니기 꺼리는 곳이었다.

이 골목이 활기를 띠기 시작한 건 2017년부터다. 이화여대 산학협력단은 서대문구와 함께 중소기업청(현 중소벤처기업부)의 지원을 받아 청년몰 조성사업을 추진했다. 이 사업으로 만 39세 이하 청년이 창업한 22개 점포는 임차료, 인테리어 비용 등을 지원받았다. ‘이화여대’와 이곳 도로명 ‘52’를 합쳐 ‘이화52번가’라는 브랜드도 탄생시켰다.

다양한 시설도 생겼다. 거리 입구에는 ‘이화 52번가 상점가’라고 쓰인 간판과 상점가를 안내하는 지도가 설치됐다. 바닥에는 이화여대를 상징하는 배꽃 그림을 그려 넣었고 한국철도시설공단 소유 부지에는 ‘이화쉼터’가 설치됐다. 쉼터에서는 테이크아웃 음식을 먹을 수 있는 공간이 조성됐고 연극과 음악연주회, 야시장 등 다양한 문화 행사도 열렸다. 사람들이 모여들면서 2017년 10월 이곳 점포의 공실률은 5% 아래로 떨어졌고 유동인구는 30∼50% 늘었다. 청년몰 사업의 지원을 받아 지금까지 이곳에서 음식점을 운영 중인 A 씨는 “현재 매출이 2016년 가게를 열었을 때보다 2∼3배로 늘었다”라고 밝혔다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심

이화52번가 활성화 과정이 순탄했던 것은 아니다. 건물주와 기존 상인, 청년몰 상인의 의견이 달랐다. 이화여대와 서대문구는 상권 홍보가 필요하다고 여겼지만 건물주는 어지럽게 널린 전선을 지중화하는 데 예산이 투입되길 바랐다. 전선과 전봇대가 사라지면 미관이 개선돼 건물 가치를 높일 수 있기 때문이다. 반면 기존 상인은 각종 공사로 영업을 방해받는 한편 임차료가 오를까 봐 걱정했다. 이화여대 산학협력단은 공감대 형성이 필요하다고 보고 다섯 차례에 걸쳐 주민공청회를 개최했다. 청년몰 상인뿐만 아니라 기존 상인에게도 마케팅과 영업, 법률 지식 등을 교육했다. 이화여대 교수들은 기존 상인들의 가게를 찾아 사업 취지를 설명하며 신뢰를 쌓았다. 일부 건물주는 임대료를 동결했다.

이화52번가는 3년 전과 비교하면 분명 활기를 되찾았다. 하지만 여전히 갈 길은 멀다. 청년몰 사업 지원을 받았던 22개 점포 중에서 현재까지 영업하는 곳은 6개뿐이다.

이곳을 찾는 발길이 꾸준히 이어지도록 더 노력해야 한다는 목소리가 나온다. 지난해 영업을 시작한 B 씨는 “손님 대부분이 이화여대 학생이라 방학 때는 극심한 비수기여서 임차료를 내기도 빠듯하다”며 “정부, 지자체의 예산이 지원된다면 거리 홍보에 쓰면 좋겠다”고 말했다.

서대문구에 따르면 이화52번가는 지난달 13일 ‘신시장 모델 육성사업―지역단체 협업사업’에 선정돼 상권 활성화를 위한 협력사업이 추진된다. 이 사업을 통해 외국인 대상 홍보물을 제작하고 상인과 주민, 대학생, 전문가 등이 참여하는 상권 활성화 관련 워크숍도 개최할 예정이다.


김하경 기자 whatsup@donga.com"
"301","광주 ‘추억의 7080 충장축제’"
"302","2019-09-24 03:00"
"303","23일 광주 동구 서석로에 조성된 70년대 거리 풍경을 재연한 추억의 거리에서 임택 동구청장과 거리 공연단이 당시 유행한 춤을 선보이고 있다. 광주의 대표적인 거리축제인 추억의 충장축제 개막을 일주일 앞두고 열린 홍보 퍼포먼스다. 올해로 16회를 맞은 충장축제는 10월 2일부터 6일까지 국립아시아문화전당, 충장로, 금남로, 예술의 거리 일원에서 열린다.
박영철 기자 skyblue@donga.com"
"304","연구산업 일자리 박람회 구직자 북적"
"305","2019-09-24 03:00"
"306","23일 서울 서초구 양재동 더케이호텔에서 열린 ‘제3회 연구산업 일자리 박람회’에서 구직자들이 취업 상담을 받고 있다. 과학기술정보통신부가 주최하고 한국기초과학지원연구원이 주관한 이번 행사에는 32개 기업이 참가해 채용 상담, 직업심리검사 등을 진행했다.


뉴시스
주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심"
"307","서울시, 빅데이터 활용해 시내버스 노선 조정하기로"
"308","2019-09-24 03:00"
"309","서울시가 교통카드 이용 정보를 근거로 노선별 시내버스 이용량 등을 빅데이터로 만들어 버스 노선 조정에 활용하기로 했다. 그동안 시민들의 노선 개설과 변경 요청이 있으면 반영했지만 노선 조정 과정에서 이용자 간 갈등이 발생하기도 했다. 데이터를 기반으로 노선을 만들어 갈등을 줄이겠다는 것이다.

서울시는 내년 1월까지 전체 시내버스 노선 354개 중 이해관계 충돌로 조정되지 못한 노선과 주거 및 교통여건 변화로 효율성이 떨어진 노선 등을 조정하겠다고 23일 밝혔다. 다음 달까지 조정이 필요한 노선을 발굴한 뒤 빅데이터 분석, 버스정책시민위원회 심의 등을 거쳐 노선 조정을 실시한다.

노선 조정을 둘러싼 갈등은 교통 관련 오랜 민원 사항 중 하나다. 신축 아파트가 생겨 입주민들이 노선 조정을 요구하면 기존 버스 노선을 이용하던 지역 주민들은 반대할 때가 많았다. 실제 영등포구 신길뉴타운 입주자들은 영등포구와 양천구를 지나는 지선버스 6649번이 신길뉴타운을 경유하도록 해달라고 요청했지만 기존 버스 이용자들은 크게 반대하고 있다.

한우신 기자의 더 많은 글을 볼 수 있습니다.기자 페이지 바로가기

서울시는 주 52시간 근로제 정착을 위해 일부 장거리 버스 노선의 단축도 추진한다. 운행거리가 60km 이상이고 운행시간이 4시간 이상인 17개 장거리 노선이 조정 고려 대상이다. 2, 3개의 도심 순환버스 노선도 새로 마련된다. 도심 지역의 차량 통행을 제한하면서 발생하는 교통 불편을 줄이기 위한 조치다.

주요기사
“조국 여론 심상치 않아…지도부, 출구전략 마련을”
자택PC 인턴증명서 직인없는 미완성본…檢, 최종본 조국 관여 의심


한우신 기자 hanwshin@donga.com"
"310","낮엔 음악회, 밤엔 야시장… 재기 꿈꾸는 이화52번가"
"311","2019-09-24 03:00"
